id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
5910,SBGR,large_airport,"Guarulhos - Governador André Franco Montoro International Airport",-23.435556411743164,-46.47305679321289,2459,SA,BR,BR-SP,"São Paulo",1,SBGR,GRU,,,http://en.wikipedia.org/wiki/S%C3%A3o_Paulo-Guarulhos_International_Airport,,1016675,2009-08-16T13:33:48+00:00
5906,SBGL,large_airport,"Rio Galeão – Tom Jobim International Airport",-22.8099994659,-43.2505569458,28,SA,BR,BR-RJ,"Rio De Janeiro",1,SBGL,GIG,,,http://en.wikipedia.org/wiki/Rio_de_Janeiro-Gale%C3%A3o_International_Airport,"Galeão - Antônio Carlos Jobim International Airport",51475,2015-11-12T03:52:06+00:00
5974,SBSP,large_airport,"Congonhas Airport",-23.626110076904297,-46.65638732910156,2631,SA,BR,BR-SP,"São Paulo",1,SBSP,CGH,,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=219,http://en.wikipedia.org/wiki/Congonhas-S%C3%A3o_Paulo_International_Airport,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=219,51150,2009-08-16T13:33:51+00:00
5967,SBRJ,medium_airport,"Santos Dumont Airport",-22.910499572799996,-43.1631011963,11,SA,BR,BR-RJ,"Rio De Janeiro",1,SBRJ,SDU,,,http://en.wikipedia.org/wiki/Santos_Dumont_Airport,RIO,975,2010-09-07T10:37:03+00:00
5872,SBBR,large_airport,"Presidente Juscelino Kubistschek International Airport",-15.86916732788086,-47.920833587646484,3497,SA,BR,BR-DF,Brasília,1,SBBR,BSB,,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=146,http://en.wikipedia.org/wiki/Bras%C3%ADlia_International_Airport,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=146,51275,2009-08-16T13:33:47+00:00
5951,SBPA,medium_airport,"Salgado Filho Airport",-29.994400024414062,-51.1713981628418,11,SA,BR,BR-RS,"Porto Alegre",1,SBPA,POA,,,http://en.wikipedia.org/wiki/Salgado_Filho_International_Airport,,1050,2008-06-24T09:40:26+00:00
5977,SBSV,large_airport,"Deputado Luiz Eduardo Magalhães International Airport",-12.9086112976,-38.3224983215,64,SA,BR,BR-BA,Salvador,1,SBSV,SSA,,,http://en.wikipedia.org/wiki/Deputado_Lu%C3%ADs_Eduardo_Magalh%C3%A3es_International_Airport,,1050,2012-05-22T08:43:27+00:00
5891,SBCT,large_airport,"Afonso Pena Airport",-25.5284996033,-49.1758003235,2988,SA,BR,BR-PR,Curitiba,1,SBCT,CWB,,,http://en.wikipedia.org/wiki/Afonso_Pena_International_Airport,,1050,2012-10-24T21:11:05+00:00
5900,SBFI,medium_airport,"Cataratas International Airport",-25.600278854370117,-54.48500061035156,786,SA,BR,BR-PR,"Foz Do Iguaçu",1,SBFI,IGU,,,http://en.wikipedia.org/wiki/Foz_do_Igua%C3%A7u_International_Airport,,1050,2009-08-16T13:33:48+00:00
5882,SBCF,large_airport,"Tancredo Neves International Airport",-19.62444305419922,-43.97194290161133,2715,SA,BR,BR-MG,"Belo Horizonte",1,SBCF,CNF,,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=207,http://en.wikipedia.org/wiki/Tancredo_Neves_International_Airport,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=207,1200,2009-08-16T13:33:48+00:00
