COD_UF,SG_UF,NM_UF,NM_MICRO,NM_MESO,TP_MUNICIPIO,CD_MUNICIPIO,NM_MUNICIPIO,LONG,LAT,ALT
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1100015,ALTA FLORESTA D'OESTE,-619998239,-119355403,337735719
11,RO,RONDÔNIA,ARIQUEMES,LESTE RONDONIENSE,URBANO,1100023,ARIQUEMES,-6303326928,-9908462867,138688981
11,RO,RONDÔNIA,COLORADO DO OESTE,LESTE RONDONIENSE,URBANO,1100031,CABIXI,-6054431358,-1349976346,23606316
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1100049,CACOAL,-6144294421,-1143386503,177453547
11,RO,RONDÔNIA,COLORADO DO OESTE,LESTE RONDONIENSE,URBANO,1100056,CEREJEIRAS,-6081842616,-1319503303,262811307
11,RO,RONDÔNIA,COLORADO DO OESTE,LESTE RONDONIENSE,URBANO,1100064,COLORADO DO OESTE,-6055506746,-1313056384,419090613
11,RO,RONDÔNIA,COLORADO DO OESTE,LESTE RONDONIENSE,URBANO,1100072,CORUMBIARA,-6094870117,-1299752024,269171178
11,RO,RONDÔNIA,GUAJARÁ-MIRIM,MADEIRA-GUAPORÉ,URBANO,1100080,COSTA MARQUES,-6423165394,-1243601388,145213903
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1100098,ESPIGÃO D'OESTE,-6102017311,-1152855463,262527225
11,RO,RONDÔNIA,GUAJARÁ-MIRIM,MADEIRA-GUAPORÉ,URBANO,1100106,GUAJARÁ-MIRIM,-6532395182,-1077388374,133414381
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1100114,JARU,-6247623071,-1043594877,162551328
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1100122,JI-PARANÁ,-6194509458,-1088205132,157262673
11,RO,RONDÔNIA,ARIQUEMES,LESTE RONDONIENSE,URBANO,1100130,MACHADINHO D'OESTE,-6199959257,-942556248,14419909
11,RO,RONDÔNIA,ALVORADA D'OESTE,LESTE RONDONIENSE,URBANO,1100148,NOVA BRASILÂNDIA D'OESTE,-6230823016,-1172132541,259417475
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1100155,OURO PRETO DO OESTE,-6226105519,-107235739,252167649
11,RO,RONDÔNIA,VILHENA,LESTE RONDONIENSE,URBANO,1100189,PIMENTA BUENO,-6118366567,-1167753699,186174033
11,RO,RONDÔNIA,PORTO VELHO,MADEIRA-GUAPORÉ,URBANO,1100205,PORTO VELHO,-6383144565,-876889179,86895415
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1100254,PRESIDENTE MÉDICI,-6190943868,-1117320502,178222375
11,RO,RONDÔNIA,ARIQUEMES,LESTE RONDONIENSE,URBANO,1100262,RIO CRESPO,-6290001037,-970553671,124322215
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1100288,ROLIM DE MOURA,-6178578094,-1172225891,226711103
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1100296,SANTA LUZIA D'OESTE,-6177330546,-1190842333,265234157
11,RO,RONDÔNIA,VILHENA,LESTE RONDONIENSE,URBANO,1100304,VILHENA,-6013858387,-1274137347,595093769
11,RO,RONDÔNIA,ALVORADA D'OESTE,LESTE RONDONIENSE,URBANO,1100320,SÃO MIGUEL DO GUAPORÉ,-6272006348,-1169948974,191082628
11,RO,RONDÔNIA,PORTO VELHO,MADEIRA-GUAPORÉ,URBANO,1100338,NOVA MAMORÉ,-6532914902,-1041177129,150930604
11,RO,RONDÔNIA,ALVORADA D'OESTE,LESTE RONDONIENSE,URBANO,1100346,ALVORADA D'OESTE,-6227727487,-1134413002,18240013
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1100379,ALTO ALEGRE DOS PARECIS,-6185307717,-1213177722,396560544
11,RO,RONDÔNIA,ARIQUEMES,LESTE RONDONIENSE,URBANO,1100403,ALTO PARAÍSO,-6331762943,-9716666738,128000112
11,RO,RONDÔNIA,PORTO VELHO,MADEIRA-GUAPORÉ,URBANO,1100452,BURITIS,-6382967879,-1020980541,153171166
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1100502,NOVO HORIZONTE DO OESTE,-6199438766,-1170974292,229511705
11,RO,RONDÔNIA,ARIQUEMES,LESTE RONDONIENSE,URBANO,1100601,CACAULÂNDIA,-6290318993,-1033887284,161056558
11,RO,RONDÔNIA,PORTO VELHO,MADEIRA-GUAPORÉ,URBANO,1100700,CAMPO NOVO DE RONDÔNIA,-6362499143,-1056841647,206148936
11,RO,RONDÔNIA,PORTO VELHO,MADEIRA-GUAPORÉ,URBANO,1100809,CANDEIAS DO JAMARI,-6370002007,-8785020703,84750219
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1100908,CASTANHEIRAS,-619491612,-1142684223,214995394
11,RO,RONDÔNIA,VILHENA,LESTE RONDONIENSE,URBANO,1100924,CHUPINGUAIA,-6090184775,-1255684076,340299631
11,RO,RONDÔNIA,PORTO VELHO,MADEIRA-GUAPORÉ,URBANO,1100940,CUJUBIM,-6258717453,-9378193399,110959894
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1101005,GOVERNADOR JORGE TEIXEIRA,-6274045764,-1061207177,201781008
11,RO,RONDÔNIA,PORTO VELHO,MADEIRA-GUAPORÉ,URBANO,1101104,ITAPUÃ DO OESTE,-6318233702,-9191871675,9895108
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1101203,MINISTRO ANDREAZZA,-6151892193,-1119623798,266291526
