"Latitude","Longitude","Query","Size"
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",15
40.774902,-73.966592,"Central Park",2
40.765886,-73.97652,"Central Park",2
40.774136,-73.970839,"Central Park",5
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",13
40.766209,-73.977342,"Central Park",4
40.768924,-73.975307,"Central Park",6
40.768924,-73.975307,"Central Park",1
40.770172,-73.972597,"Central Park",11
40.768924,-73.975307,"Central Park",19
40.768924,-73.975307,"Central Park",22
40.766209,-73.977342,"Central Park",5
40.768924,-73.975307,"Central Park",44
40.768924,-73.975307,"Central Park",24
40.7815,-73.971825,"Central Park",1
40.764311,-73.975681,"Central Park",13
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",6
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",8
40.78217,-73.971666,"Central Park",4
40.780964,-73.960819,"Central Park",9
40.769208,-73.977808,"Central Park",6
40.768924,-73.975307,"Central Park",4
40.773894,-73.970236,"Central Park",11
40.768924,-73.975307,"Central Park",18
40.768924,-73.975307,"Central Park",9
40.785089,-73.960475,"Central Park",20
40.785089,-73.960475,"Central Park",13
40.785089,-73.960475,"Central Park",2
40.7815,-73.971825,"Central Park",8
40.785089,-73.960475,"Central Park",7
40.775008,-73.972129,"Central Park",3
40.768924,-73.975307,"Central Park",9
40.768924,-73.975307,"Central Park",17
40.768613,-73.976616,"Central Park",17
40.774399,-73.982313,"Central Park",21
40.768924,-73.975307,"Central Park",1
40.765387,-73.973748,"Central Park",12
40.768924,-73.975307,"Central Park",7
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",6
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",5
40.768056,-73.981079,"Central Park",9
40.768924,-73.975307,"Central Park",7
40.783411,-73.959308,"Central Park",26
40.775822,-73.975383,"Central Park",4
40.768924,-73.975307,"Central Park",2
40.777658,-73.973347,"Central Park",5
40.785089,-73.960475,"Central Park",15
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",6
