"Date","Births"
"Sat Jan 01 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8096
"Sun Jan 02 1994 00:00:00 GMT-0500 (Eastern Standard Time)",7772
"Mon Jan 03 1994 00:00:00 GMT-0500 (Eastern Standard Time)",10142
"Tue Jan 04 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11248
"Wed Jan 05 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11053
"Thu Jan 06 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11406
"Fri Jan 07 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11251
"Sat Jan 08 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8653
"Sun Jan 09 1994 00:00:00 GMT-0500 (Eastern Standard Time)",7910
"Mon Jan 10 1994 00:00:00 GMT-0500 (Eastern Standard Time)",10498
"Tue Jan 11 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11706
"Wed Jan 12 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11567
"Thu Jan 13 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11212
"Fri Jan 14 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11570
"Sat Jan 15 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8660
"Sun Jan 16 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8123
"Mon Jan 17 1994 00:00:00 GMT-0500 (Eastern Standard Time)",10567
"Tue Jan 18 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11541
"Wed Jan 19 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11257
"Thu Jan 20 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11682
"Fri Jan 21 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11811
"Sat Jan 22 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8833
"Sun Jan 23 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8310
"Mon Jan 24 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11125
"Tue Jan 25 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11981
"Wed Jan 26 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11514
"Thu Jan 27 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11702
"Fri Jan 28 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11666
"Sat Jan 29 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8988
"Sun Jan 30 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8096
"Mon Jan 31 1994 00:00:00 GMT-0500 (Eastern Standard Time)",10765
"Tue Feb 01 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11755
"Wed Feb 02 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11483
"Thu Feb 03 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11523
"Fri Feb 04 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11677
"Sat Feb 05 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8991
"Sun Feb 06 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8309
"Mon Feb 07 1994 00:00:00 GMT-0500 (Eastern Standard Time)",10984
"Tue Feb 08 1994 00:00:00 GMT-0500 (Eastern Standard Time)",12152
"Wed Feb 09 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11515
"Thu Feb 10 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11623
"Fri Feb 11 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11517
"Sat Feb 12 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8945
"Sun Feb 13 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8171
"Mon Feb 14 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11551
"Tue Feb 15 1994 00:00:00 GMT-0500 (Eastern Standard Time)",12164
"Wed Feb 16 1994 00:00:00 GMT-0500 (Eastern Standard Time)",12009
"Thu Feb 17 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11674
"Fri Feb 18 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11887
"Sat Feb 19 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8946
"Sun Feb 20 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8402
"Mon Feb 21 1994 00:00:00 GMT-0500 (Eastern Standard Time)",10617
"Tue Feb 22 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11810
"Wed Feb 23 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11776
"Thu Feb 24 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11667
"Fri Feb 25 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11905
"Sat Feb 26 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8988
"Sun Feb 27 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8195
"Mon Feb 28 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11091
"Tue Mar 01 1994 00:00:00 GMT-0500 (Eastern Standard Time)",12127
"Wed Mar 02 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11735
"Thu Mar 03 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11984
"Fri Mar 04 1994 00:00:00 GMT-0500 (Eastern Standard Time)",12066
