Time,CPU (%),RAM (%),TCP Out (MB)
2019.6384703196347,0.54,14.02,0
2019.6384722222222,0.15,14.01,0
2019.6384741248098,0.16,14.01,0
2019.6384760273972,0.15,14.01,0
2019.6384779299847,0.19,14.01,0
2019.6384798325723,0.26,14.03,0
2019.6384817351598,0.32,14.03,0
2019.6384836377474,0.15,14.02,0
2019.6384855403348,0.15,14.02,0
2019.6384874429223,0.28,14.03,0
2019.63848934551,0.29,14.03,0
2019.6384912480974,0.33,14.04,0
2019.638493150685,0.18,14.03,0
2019.6384950532724,0.17,14.03,0
2019.6384969558599,0.17,14.03,0
2019.6384988584475,0.33,14.02,0
2019.638500761035,0.32,14.04,0.01
2019.6385026636226,0.23,14.03,0
2019.63850456621,0.15,14.03,0
2019.6385064687975,0.15,14.03,0
2019.6385083713851,0.24,14.03,0
2019.6385102739725,0.29,14.03,0
2019.6385121765602,0.16,14.03,0
2019.6385140791476,0.17,14.03,0
2019.638515981735,0.17,14.03,0
2019.6385178843227,0.45,14.03,0
2019.6385197869101,0.28,14.04,0
2019.6385216894978,0.16,14.04,0
2019.6385235920852,0.17,14.03,0
2019.6385254946726,0.17,14.03,0
2019.6385273972603,0.24,14.03,0
2019.6385292998477,0.3,14.04,0
2019.6385312024354,0.19,14.03,0
2019.6385331050228,0.19,14.04,0
2019.6385350076102,0.17,14.04,0
2019.638536910198,0.24,14.04,0
2019.6385388127853,0.29,14.05,0
2019.638540715373,0.22,14.03,0
2019.6385426179604,0.18,14.03,0
2019.6385445205478,0.28,14.03,0
2019.6385464231355,0.26,14.04,0
2019.638548325723,0.17,14.04,0
2019.6385502283106,0.3,14.05,0
2019.638552130898,0.16,14.03,0
2019.6385540334854,0.21,14.03,0
2019.638555936073,0.24,14.03,0
2019.6385578386605,0.16,14.03,0
2019.6385597412482,0.29,14.05,0
2019.6385616438356,0.17,14.04,0
2019.638563546423,0.18,14.04,0
2019.6385654490107,0.27,14.04,0
2019.638567351598,0.16,14.03,0
2019.6385692541858,0.33,14.04,0
2019.6385711567732,0.16,14.03,0
2019.6385730593606,0.19,14.04,0
2019.6385749619483,0.24,14.04,0
2019.6385768645357,0.18,14.03,0
2019.6385787671234,1.7,14.04,0
2019.6385806697108,0.18,14.03,0
2019.6385825722982,0.16,14.03,0
2019.6385844748859,0.34,14.03,0
2019.6385863774733,0.18,14.03,0
2019.638588280061,0.28,14.02,0
2019.6385901826484,0.18,14.02,0
2019.6385920852358,0.17,14.02,0
2019.6385939878235,0.34,14.01,0
2019.638595890411,0.17,14.01,0
2019.6385977929986,0.28,14.02,0
2019.638599695586,0.17,14.02,0
2019.6386015981734,0.22,14.02,0
2019.638603500761,0.23,14.02,0
2019.6386054033485,0.14,14.02,0
2019.6386073059361,0.29,14.02,0
2019.6386092085236,0.2,14.01,0
2019.638611111111,0.16,14.01,0
2019.6386130136987,0.24,14.02,0
2019.638614916286,0.16,14.02,0.01
2019.6386168188737,0.17,14.02,0
2019.6386187214612,0.29,14.03,0
2019.6386206240486,0.17,14.02,0
2019.6386225266363,0.38,14,0
2019.6386244292237,0.2,14.02,0
2019.6386263318113,0.16,14.02,0
2019.6386282343988,0.3,14.04,0
2019.6386301369862,0.18,14.03,0
2019.6386320395738,0.31,14.02,0
2019.6386339421613,0.16,14.02,0
2019.638635844749,0.16,14.02,0
2019.6386377473364,0.29,14.03,0
2019.6386396499238,0.15,14.02,0
2019.6386415525114,0.31,14.03,0
2019.6386434550989,0.17,14.03,0
2019.6386453576865,0.17,14.03,0
2019.638647260274,0.3,14.03,0
