AF,"60.98,29.61 6.6,0.71 10.7,6.96 6.85,7.61 5.46,7.92 -0.02,5.89"
AX,""
AL,"20.82,42.09 0,-1.09 -1.18,-2.25 -1.65,-0.14 -0.77,0.75"
DZ,"-1.8,35.11 -7.27,-7.26 -3.04,-10.16 5.85,-16.43 13.36,-12.02 11.08,-4.93 10.02,1.66"
AS,""
AD,"-9.01,42.02 0.33,1.45 7.26,1.26 11.88,0.36 7.15,-5.17 3.12,-5.77 1.75,-4.81 2.1,0"
AO,"11.47,-17.07 11.56,-0.77 12.4,5.74 1,11.18"
AI,""
AQ,"-180.4,-84.36 33.78,0 36.8,8.86 120.49,19.75 103.35,5.81 142.42,3.04 249.05,16.2 350.13,13.42 340.68,3.92 360.47,0 360,-11.77 0,-11.77"
AG,""
AR,"-67.23,-22.9 4.33,0.7 8.56,-4.57 12.79,-3.24 9.47,-7.39 8.56,-11.53 9.16,-15.79 2.21,-18.63 -1.51,-30.88 -6.15,-28.35"
AM,"45.32,41.16 1.27,-1.85 -1.6,-1.24 -1.89,-0.15"
AW,""
AU,"113.65,-22.56 2.89,-12.3 18,-9.07 28.72,-16.3 36.35,-14.63 39.31,-3.43 28.66,11.83 26.65,4.85 19.59,11.07"
AT,"13.32,46.52 2.84,0.44 3.75,1.35 2.98,2.11 0.08,2.33 -3.04,0.8 -2.58,0.19"
AZ,"49.62,40.38 -1.2,1.25 -2.77,0.89 -4.3,0.77 -3.03,-1.08 -0.88,-1.92"
BS,""
BH,""
BD,"92.53,22.4 -4.66,4.11 -3.72,-0.33"
BB,""
BY,"26.59,54.94 1.16,1.08 4.87,-2.65 -2.95,-3.29 -3.38,-0.95"
BE,"5.76,50.93 -2,0.42 -3.24,0.13 -0.17,-1.36"
BZ,"-88.8,15.78 0.71,2.88 -0.55,2.07"
BJ,"2.17,6.5 1.32,5.13 0.18,5.57 -1.2,4.5 -1.08,-0.33"
BM,""
BT,"91.78,27.72 -2.85,0.25 -1.27,-1.27"
