"geo","time","agriculture_percent_of_gdp","co2_emissions_tonnes_per_person","crude_birth_rate_births_per_1000_population","crude_death_rate_deaths_per_1000_population","exports_percent_of_gdp","gdppercapita_us_inflation_adjusted","imports_percent_of_gdp","life_expectancy_years","population_density_per_square_km","population_total"
"afg",2002,37.93882,0.04872,47.23,11.167,32.38672,364.57057,65.2877,52.43,33.66713,21979923
"afg",2003,36.86306,0.05183,46.54,10.748,43.55687,376.75871,94.34417,53.03,35.32894,23064851
"afg",2004,29.3912,0.03938,45.76,10.325,33.99649,364.09544,87.13932,53.5,36.94357,24118979
"afg",2005,30.78797,0.05295,44.89,9.906,27.39526,389.41636,77.46715,53.87,38.40149,25070798
"afg",2006,28.28974,0.06373,43.89,9.498,26.47029,397.9859,74.08506,54.15,39.66157,25893450
"afg",2007,29.79897,0.08542,42.78,9.108,17.82371,440.36816,58.35005,54.57,40.76952,26616792
"afg",2008,24.69382,0.1541,41.56,8.742,17.99297,444.95014,55.07255,55.21,41.80687,27294031
"afg",2009,29.13593,0.24172,40.27,8.403,14.70759,524.82353,42.19923,55.69,42.89485,28004331
"afg",2010,26.07825,0.29384,38.94,8.095,10.02385,553.30029,44.94348,56.2,44.11844,28803167
"afg",2011,23.57797,0.41202,37.64,7.816,6.10727,569.23339,44.19395,56.71,45.50531,29708599
"afg",2012,23.64364,0.35037,36.4,7.563,5.51685,630.42741,39.1424,57.23,47.0192,30696958
"afg",2013,22.58745,0.3156,35.25,7.331,6.3079,633.65841,49.75777,57.71,48.60412,31731688
"afg",2014,22.0093,0.29944,34.23,7.118,6.5677,630.32001,45.77388,57.83,50.17618,32758020
"ago",1985,12.20473,0.44312,53.09,23.591,44.24729,2146.68485,44.24729,50.26,8.5097,10609042
"ago",1986,12.93124,0.42677,53.02,23.47,47.25984,2145.83322,47.25984,50.23,8.75996,10921037
"ago",1987,11.7427,0.51843,52.95,23.351,41.34462,2174.26655,41.34462,50,8.99837,11218268
"ago",1988,14.47579,0.44556,52.87,23.226,38.11325,2248.26345,38.11325,49.78,9.23556,11513968
"ago",1989,17.42597,0.42352,52.78,23.083,32.76359,2189.62449,32.76359,50.16,9.48683,11827237
"ago",1990,16.39071,0.42028,52.69,22.91,29.76504,2054.29485,29.76504,50.21,9.76293,12171441
"ago",1991,28.57143,0.40545,52.59,22.697,28.57143,2011.52778,28.57143,50.79,10.06934,12553446
"ago",1992,7.89474,0.40068,52.48,22.436,47.36842,1833.49114,50,50.96,10.40214,12968345
