"Super Name","Real Name","Publisher","Creators","Gender","Character Type","Appearances","Intelligence","Strength","Speed","Durability","Power","Combat","Good or Bad","Description","Pic"
"Angel","Warren Kenneth Worthington III","Marvel","Stan Lee, Jack Kirby","Male","Mutant",5663,75,30,58,90,76,75,"Good to Bad","A mutant and original member of the X-Men. Warren received his angelic wings at a tender age, as well as a unique healing factor in his blood. After being twisted into a weapon of Apocalypse, Warren became the cold Archangel.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/1.jpg"
"Apocalypse","En Sabah Nur","Marvel","Walter Simonson
Louise Jones Simonson","Male","Mutant",1154,100,100,33,100,100,60,"Good","One of the very first mutants, Apocalypse is both thousands of years old and a monstrous tyrant that has been a longtime foe of the X-Men. Apocalypse believes that only the strongest (whether mutant or superhuman) should survive. His body is a mix of organics and powerful celestial technology.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/2.jpg"
"Armor","Hisako Ichiki","Marvel","John Cassaday
Joss Whedon","Female","Mutant",1066,50,63,12,80,55,54,"Good","Hisako Ichiki is a teenage mutant from Japan that studied at the Xavier Institute before becoming an X-Man. Her mutant power allows her to create psionic armor, giving her enhanced strength and durability. She is currently enrolled at the Jean Grey School for Higher Learning.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/3.jpg"
"Banshee","Sean Cassidy","Marvel","Roy Thomas
Werner Roth","Male","Mutant",1848,50,10,58,42,60,70,"Good","Banshee is a mutant with a sonic scream. Born in Ireland, he pursued a career in Interpol, the X-Men, Generation X as Co-Headmaster, and founded X-Corp. He is the father of Theresa Cassidy as well as Black Tom Cassidy's cousin.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/4.jpg"
"Beast","Henry Philip McCoy","Marvel","Stan Lee, Jack Kirby","Male","Mutant",7274,88,48,35,56,35,84,"Good","One of the founding X-Men, Dr. Hank McCoy is a mutant possessing animal-like strength and agility. Despite being covered in blue fur and resembling a ferocious beast he possesses an astounding intellect and superb wit. Beast is currently helping the Jean Grey School run, while also serving as an Avenger.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/5.jpg"
"Beta Ray Bill ","Bill","Marvel","Walter Simonson","Male","Cyborg",283,63,80,35,95,100,84,"Good","The cyborg champion of the Korbinites, Beta Ray Bill guarded his people as they fled attack by demons. When he encountered Thor and proved worthy to wield Mjolnir, Odin bestowed upon him the powers of Thor and created an equally powerful hammer for Bill, the Stormbreaker.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/6.jpg"
"Bishop","Lucas Bishop","Marvel","John Byrne
Jim Lee
Whilce Portacio","Male","Mutant",2273,63,14,23,75,85,65,"Good","Lucas Bishop is a mutant from the 22nd century that traveled into the past, becoming a member of the X-Men, and later, the Uncanny X-Force. He has the power to channel kinetic energy, releasing it generally through beams of energy.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/7.jpg"
"Black Panther","T'Challa","Marvel","Stan Lee
Jack Kirby","Male","Human",1933,88,16,30,60,41,100,"Good","T'Challa is the Black Panther, Former king of Wakanda, one of the most technologically advanced nations on Earth. He is among the top intellects of the world, a veteran Avenger, and a member of the Illuminati. Using his powers and abilities, he has pledged his fortune, powers, and life to the service of all mankind.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/8.jpg"
"Black Widow","Natalia Alianovna Romanova","Marvel","Stan Lee
Don Rico
Don Heck
Sam Rosen","Female","Human",2592,75,13,27,32,39,100,"Bad to Good","Former KGB agent Natasha Romanova, known as Black Widow, is one of the greatest spies ever and is one of the best agents S.H.I.E.L.D. has ever had. She's a long-time member of the Avengers and was a founding member and the only leader of the short-lived Los Angeles-based superteam: The Champions.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/9.jpg"
"Blob","Frederick J. Dukes","Marvel","Stan Lee, Jack Kirby","Male","Mutant",1281,10,83,23,95,26,72,"Bad","A common enemy of the X-Men and one of the most unusual mutants, who was de-powered during M-Day. His Age of Apocalypse counterpart has since replaced him in his various villainous roles after leaving his home reality.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/10.jpg"
